2011-12 Progress Report Results for High Schools																				
DBN	School Name	School Type	Overall Score	Overall Grade	Percentile Rank	Progress Grade	Performance Grade	Environment Grade	College and Career Readiness Grade	Closing the Achievement Gap Points	Principal	Enrollment	% Students with Disabilites	% Students in Self-contained Settings	% Overage	% Free Lunch	% Black or Hispanic	% ELL	8th Gr Math/ELA	Peer Index
01M292	Henry Street School for International Studies	High School	50.6	C	15	C	F	C	D	4.3	Erin Mcmahon	307	25.4%	10.1%	12.1%	76.3%	84.4%	22.8%	2.55	1.72
01M448	University Neighborhood High School	High School	67.7	B	59	B	B	B	A	4.3	Elizabeth Collins	394	23.9%	7.1%	15.5%	81.0%	68.5%	21.1%	2.64	1.86
01M450	East Side Community School	High School	73.6	A	75	B	A	A	A	8.0	Mark Federman	357	24.4%	0.8%	5.9%	69.6%	77.9%	5.6%	2.94	2.38
01M509	Marta Valle High School	High School	50.5	C	15	F	B	F	A	5.4	Mimi Fortunato	367	27.5%	13.1%	10.9%	79.3%	88.6%	11.4%	2.56	1.64
01M539	"New Explorations into Science, Technology and Math High School"	High School	82.0	A	93	A	A	C	A	0.1	Dr. Olga Livanis	544	3.3%	0.4%	0.2%	21.9%	41.7%	0.4%	3.60	3.52
01M696	Bard High School Early College	High School	67.4	B	58	C	A	A	A	2.0	Michael Lerner	617	1.9%	0.0%	1.1%	18.2%	33.9%	0.2%	3.81	3.76
02M047	47 The American Sign Language and English Secondary School	High School	58.8	B	32	C	F	A	C	3.5	Watfa A. Shama	174	39.1%	9.8%	9.8%	74.7%	91.4%	8.0%	2.52	1.42
02M288	Food and Finance High School	High School	71.2	A	70	B	A	B	B	4.7	Roger Turgeon	433	21.2%	3.9%	3.9%	68.1%	91.7%	2.1%	2.73	2.19
02M294	Essex Street Academy	High School	69.1	B	64	B	A	A	D	4.8	Erin Carstensen	343	22.4%	3.5%	8.2%	63.3%	88.3%	3.8%	2.74	2.14
02M296	High School of Hospitality Management	High School	75.4	A	80	B	A	B	B	7.7	Matthew Corallo	419	20.0%	9.8%	9.3%	80.4%	92.6%	10.7%	2.66	1.97
02M298	Pace High School	High School	70.6	A	68	B	A	B	B	3.0	Yvette Sy	414	15.0%	1.0%	2.7%	61.4%	74.4%	2.2%	2.98	2.64
02M300	"Urban Assembly School of Design and Construction, The"	High School	56.2	C	25	D	B	C	C	4.6	Matthew Willoughby	431	22.0%	7.4%	10.2%	71.9%	88.9%	11.6%	2.74	2.04
02M303	"Facing History School, The"	High School	75.3	A	80	B	A	B	B	9.2	Dana Panagot	451	23.3%	6.4%	14.6%	56.3%	96.7%	21.5%	2.54	1.80
