2012-13 Progress Report Results for High Schools																			
DBN	School Name	School Type	Overall Score	Overall Grade	Percentile Rank	Progress Grade	Performance Grade	Environment Grade	College and Career Readiness Grade	Closing the Achievement Gap Points	Principal	Enrollment	Average English Proficiency	Average Math Proficiency	% Students with Disabilities	% Self-Contained	% Overage	% Black or Hispanic	% ELL
01M292	Henry Street School for International Studies	High School	42.3	D	7	D	C	B	D	3.4	Christine Loughlin	302	2.51	2.65	24.8%	9.9%	12.3%	83.8%	22.2%
01M448	University Neighborhood High School	High School	76.5	A	83	B	A	B	A	9.8	Elizabeth Collins	331	2.57	2.76	28.1%	7.9%	20.5%	68.3%	23.0%
01M450	East Side Community School	High School	71.0	A	71	B	B	A	B	7.2	Mark Federman	387	2.85	3.22	24.5%	1.0%	5.2%	78.6%	3.9%
01M509	Marta Valle High School	High School	31.8	F	2	D	F	F	C	3.4	Mimi Fortunato	367	2.66	2.72	26.7%	15.8%	12.3%	87.5%	9.8%
01M539	"New Explorations into Science, Technology and Math High School"	High School	79.5	A	87	A	A	D	A	0.0	Dr. Olga Livanis	570	3.38	3.90	4.4%	0.2%	0.0%	34.9%	0.4%
01M696	Bard High School Early College	High School	71.1	A	72	B	A	B	A	0.1	Michael Lerner	601	3.59	4.01	1.3%	0.0%	0.0%	34.3%	0.0%
02M047	47 The American Sign Language and English Secondary School	High School	75.5	A	80	B	B	A	B	11.4	Watfa A. Shama	189	2.61	2.66	36.0%	11.1%	7.4%	91.5%	8.5%
02M288	Food and Finance High School	High School	62.2	B	49	C	A	C	B	5.4	Roger Turgeon	433	2.71	2.90	21.2%	2.1%	4.2%	91.0%	2.8%
02M294	Essex Street Academy	High School	54.8	C	26	C	C	A	C	4.0	Erin Carstensen	340	2.77	2.85	22.9%	3.2%	6.8%	84.1%	3.2%
02M296	High School of Hospitality Management	High School	70.8	A	70	B	B	B	C	6.3	Yves Mompoint Jr	399	2.64	2.88	19.5%	10.0%	7.5%	91.2%	8.3%
02M298	Pace High School	High School	73.2	A	75	B	A	C	B	4.4	Yvette Sy	426	2.90	3.12	15.7%	0.5%	4.0%	76.3%	1.6%
02M300	"Urban Assembly School of Design and Construction, The"	High School	56.7	C	29	C	C	C	B	3.7	Matthew Willoughby	418	2.67	2.87	22.7%	8.1%	7.4%	90.2%	11.0%
02M303	"Facing History School, The"	High School	69.5	B	67	B	B	B	A	11.1	Dana Panagot	412	2.52	2.68	24.3%	8.0%	14.6%	95.9%	20.6%
02M305	"Urban Assembly Academy of Government and Law, The"	High School	60.8	B	44	C	B	C	B	7.4	David Glasner	309	2.70	2.83	22.0%	4.2%	6.5%	92.9%	6.1%
02M308	Lower Manhattan Arts Academy	High School	57.6	C	31	C	B	B	B	3.8	John Wenk	351	2.74	2.80	27.9%	5.1%	5.4%	84.6%	4.6%
02M316	"Urban Assembly School of Business for Young Women, the"	High School	54.8	C	26	C	B	C	B	3.7	Patricia Minaya	419	2.69	2.78	20.5%	2.6%	6.0%	90.7%	3.6%
02M374	Gramercy Arts High School	High School	54.8	C	26	C	B	C	C	3.3	Denise Dicarlo	513	2.82	2.90	17.5%	3.3%	6.6%	90.4%	2.3%
02M376	NYC iSchool	High School	71.9	A	73	A	A	B	B	0.7	Isora Bailey	447	3.20	3.48	14.5%	0.7%	0.2%	62.0%	0.2%
02M392	MANHATTAN BUSINESS ACADEMY	High School	64.1	B	54	B	B	C	C	4.8	Karen Polsonetti	398	2.69	2.94	17.6%	5.0%	4.5%	87.4%	9.5%
02M393	BUSINESS OF SPORTS SCHOOL	High School	66.5	B	61	C	B	C	A	8.0	Joshua Solomon	388	2.60	2.75	22.9%	4.6%	9.8%	94.3%	6.7%
